id,country,year,sex,age,population,country-year, gdp_for_year($) ,gdp_per_capita ($),suicides_no,generation
0,Albania,1987,male,15-24 years,312900,Albania1987,"2,15,66,24,900",796,21,Generation X
1,Albania,1987,male,35-54 years,308000,Albania1987,"2,15,66,24,900",796,16,Silent
2,Albania,1987,female,15-24 years,289700,Albania1987,"2,15,66,24,900",796,14,Generation X
3,Albania,1987,male,75+ years,21800,Albania1987,"2,15,66,24,900",796,1,G.I. Generation
4,Albania,1987,male,25-34 years,274300,Albania1987,"2,15,66,24,900",796,9,Boomers
5,Albania,1987,female,75+ years,35600,Albania1987,"2,15,66,24,900",796,1,G.I. Generation
6,Albania,1987,female,35-54 years,278800,Albania1987,"2,15,66,24,900",796,6,Silent
7,Albania,1987,female,25-34 years,257200,Albania1987,"2,15,66,24,900",796,4,Boomers
8,Albania,1987,male,55-74 years,137500,Albania1987,"2,15,66,24,900",796,1,G.I. Generation
9,Albania,1987,female,5-14 years,311000,Albania1987,"2,15,66,24,900",796,0,Generation X
10,Albania,1987,female,55-74 years,144600,Albania1987,"2,15,66,24,900",796,0,G.I. Generation
11,Albania,1987,male,5-14 years,338200,Albania1987,"2,15,66,24,900",796,0,Generation X
12,Albania,1988,female,75+ years,36400,Albania1988,"2,12,60,00,000",769,2,G.I. Generation
13,Albania,1988,male,15-24 years,319200,Albania1988,"2,12,60,00,000",769,17,Generation X
14,Albania,1988,male,75+ years,22300,Albania1988,"2,12,60,00,000",769,1,G.I. Generation
15,Albania,1988,male,35-54 years,314100,Albania1988,"2,12,60,00,000",769,14,Silent
16,Albania,1988,male,55-74 years,140200,Albania1988,"2,12,60,00,000",769,4,G.I. Generation
17,Albania,1988,female,15-24 years,295600,Albania1988,"2,12,60,00,000",769,8,Generation X
18,Albania,1988,female,55-74 years,147500,Albania1988,"2,12,60,00,000",769,3,G.I. Generation
19,Albania,1988,female,25-34 years,262400,Albania1988,"2,12,60,00,000",769,5,Boomers
20,Albania,1988,male,25-34 years,279900,Albania1988,"2,12,60,00,000",769,5,Boomers
21,Albania,1988,female,35-54 years,284500,Albania1988,"2,12,60,00,000",769,4,Silent
22,Albania,1988,female,5-14 years,317200,Albania1988,"2,12,60,00,000",769,0,Generation X
23,Albania,1988,male,5-14 years,345000,Albania1988,"2,12,60,00,000",769,0,Generation X
24,Albania,1989,male,75+ years,22500,Albania1989,"2,33,51,24,988",833,2,G.I. Generation
25,Albania,1989,male,25-34 years,283600,Albania1989,"2,33,51,24,988",833,18,Boomers
26,Albania,1989,male,35-54 years,318400,Albania1989,"2,33,51,24,988",833,15,Silent
27,Albania,1989,male,55-74 years,142100,Albania1989,"2,33,51,24,988",833,6,G.I. Generation
28,Albania,1989,male,15-24 years,323500,Albania1989,"2,33,51,24,988",833,12,Generation X
29,Albania,1989,female,35-54 years,288600,Albania1989,"2,33,51,24,988",833,7,Silent
30,Albania,1989,female,15-24 years,299900,Albania1989,"2,33,51,24,988",833,5,Generation X
31,Albania,1989,female,25-34 years,266300,Albania1989,"2,33,51,24,988",833,2,Boomers
32,Albania,1989,female,55-74 years,149600,Albania1989,"2,33,51,24,988",833,1,G.I. Generation
33,Albania,1989,female,5-14 years,321900,Albania1989,"2,33,51,24,988",833,0,Generation X
34,Albania,1989,female,75+ years,37000,Albania1989,"2,33,51,24,988",833,0,G.I. Generation
35,Albania,1989,male,5-14 years,349700,Albania1989,"2,33,51,24,988",833,0,Generation X
36,Albania,1992,male,35-54 years,343800,Albania1992,"70,94,52,584",251,12,Boomers
37,Albania,1992,male,15-24 years,263700,Albania1992,"70,94,52,584",251,9,Generation X
38,Albania,1992,male,55-74 years,159500,Albania1992,"70,94,52,584",251,5,Silent
39,Albania,1992,male,25-34 years,245500,Albania1992,"70,94,52,584",251,7,Boomers
40,Albania,1992,female,15-24 years,292400,Albania1992,"70,94,52,584",251,7,Generation X
41,Albania,1992,female,25-34 years,267400,Albania1992,"70,94,52,584",251,4,Boomers
42,Albania,1992,female,35-54 years,323100,Albania1992,"70,94,52,584",251,2,Boomers
43,Albania,1992,female,55-74 years,164900,Albania1992,"70,94,52,584",251,1,Silent
44,Albania,1992,female,5-14 years,336700,Albania1992,"70,94,52,584",251,0,Millenials
45,Albania,1992,female,75+ years,38700,Albania1992,"70,94,52,584",251,0,G.I. Generation
46,Albania,1992,male,5-14 years,362900,Albania1992,"70,94,52,584",251,0,Millenials
47,Albania,1992,male,75+ years,23900,Albania1992,"70,94,52,584",251,0,G.I. Generation
48,Albania,1993,male,15-24 years,243300,Albania1993,"1,22,80,71,038",437,18,Generation X
49,Albania,1993,male,55-74 years,165000,Albania1993,"1,22,80,71,038",437,7,Silent
50,Albania,1993,male,75+ years,24200,Albania1993,"1,22,80,71,038",437,1,G.I. Generation
51,Albania,1993,male,25-34 years,230100,Albania1993,"1,22,80,71,038",437,9,Boomers
52,Albania,1993,female,15-24 years,285300,Albania1993,"1,22,80,71,038",437,10,Generation X
53,Albania,1993,male,35-54 years,350300,Albania1993,"1,22,80,71,038",437,10,Boomers
54,Albania,1993,female,25-34 years,261800,Albania1993,"1,22,80,71,038",437,7,Boomers
55,Albania,1993,female,35-54 years,331200,Albania1993,"1,22,80,71,038",437,7,Boomers
56,Albania,1993,female,55-74 years,169500,Albania1993,"1,22,80,71,038",437,2,Silent
57,Albania,1993,female,5-14 years,340300,Albania1993,"1,22,80,71,038",437,1,Millenials
58,Albania,1993,male,5-14 years,367000,Albania1993,"1,22,80,71,038",437,1,Millenials
59,Albania,1993,female,75+ years,39300,Albania1993,"1,22,80,71,038",437,0,G.I. Generation
60,Albania,1994,male,75+ years,24600,Albania1994,"1,98,56,73,798",697,2,G.I. Generation
61,Albania,1994,male,55-74 years,171400,Albania1994,"1,98,56,73,798",697,11,Silent
62,Albania,1994,female,75+ years,39900,Albania1994,"1,98,56,73,798",697,2,G.I. Generation
63,Albania,1994,male,25-34 years,231400,Albania1994,"1,98,56,73,798",697,6,Boomers
64,Albania,1994,male,35-54 years,362800,Albania1994,"1,98,56,73,798",697,9,Boomers
65,Albania,1994,male,15-24 years,242200,Albania1994,"1,98,56,73,798",697,6,Generation X
66,Albania,1994,female,15-24 years,282600,Albania1994,"1,98,56,73,798",697,6,Generation X
67,Albania,1994,female,25-34 years,261100,Albania1994,"1,98,56,73,798",697,4,Boomers
68,Albania,1994,female,35-54 years,342500,Albania1994,"1,98,56,73,798",697,2,Boomers
69,Albania,1994,female,55-74 years,174600,Albania1994,"1,98,56,73,798",697,1,Silent
70,Albania,1994,male,5-14 years,371800,Albania1994,"1,98,56,73,798",697,1,Millenials
71,Albania,1994,female,5-14 years,344400,Albania1994,"1,98,56,73,798",697,0,Millenials
72,Albania,1995,male,25-34 years,232900,Albania1995,"2,42,44,99,009",835,13,Generation X
73,Albania,1995,male,55-74 years,178000,Albania1995,"2,42,44,99,009",835,9,Silent
74,Albania,1995,female,75+ years,40800,Albania1995,"2,42,44,99,009",835,2,G.I. Generation
75,Albania,1995,female,15-24 years,283500,Albania1995,"2,42,44,99,009",835,13,Generation X
76,Albania,1995,male,15-24 years,241200,Albania1995,"2,42,44,99,009",835,11,Generation X
77,Albania,1995,male,75+ years,25100,Albania1995,"2,42,44,99,009",835,1,G.I. Generation
78,Albania,1995,male,35-54 years,375900,Albania1995,"2,42,44,99,009",835,14,Boomers
79,Albania,1995,female,25-34 years,264000,Albania1995,"2,42,44,99,009",835,7,Generation X
80,Albania,1995,female,35-54 years,356400,Albania1995,"2,42,44,99,009",835,8,Boomers
81,Albania,1995,male,5-14 years,376500,Albania1995,"2,42,44,99,009",835,6,Millenials
82,Albania,1995,female,55-74 years,180400,Albania1995,"2,42,44,99,009",835,2,Silent
83,Albania,1995,female,5-14 years,348700,Albania1995,"2,42,44,99,009",835,2,Millenials
84,Albania,1996,male,75+ years,25400,Albania1996,"3,31,48,98,292",1127,2,G.I. Generation
85,Albania,1996,male,15-24 years,243600,Albania1996,"3,31,48,98,292",1127,17,Generation X
86,Albania,1996,male,25-34 years,235300,Albania1996,"3,31,48,98,292",1127,14,Generation X
87,Albania,1996,female,15-24 years,287700,Albania1996,"3,31,48,98,292",1127,16,Generation X
88,Albania,1996,female,75+ years,41200,Albania1996,"3,31,48,98,292",1127,2,G.I. Generation
89,Albania,1996,female,25-34 years,267900,Albania1996,"3,31,48,98,292",1127,10,Generation X
90,Albania,1996,male,35-54 years,379600,Albania1996,"3,31,48,98,292",1127,12,Boomers
91,Albania,1996,female,35-54 years,362000,Albania1996,"3,31,48,98,292",1127,9,Boomers
92,Albania,1996,male,55-74 years,179900,Albania1996,"3,31,48,98,292",1127,3,Silent
93,Albania,1996,female,55-74 years,183100,Albania1996,"3,31,48,98,292",1127,1,Silent
94,Albania,1996,male,5-14 years,380400,Albania1996,"3,31,48,98,292",1127,2,Millenials
95,Albania,1996,female,5-14 years,354100,Albania1996,"3,31,48,98,292",1127,1,Millenials
96,Albania,1997,male,25-34 years,236000,Albania1997,"2,35,99,03,108",793,36,Generation X
97,Albania,1997,male,15-24 years,244400,Albania1997,"2,35,99,03,108",793,33,Generation X
98,Albania,1997,male,75+ years,25400,Albania1997,"2,35,99,03,108",793,3,G.I. Generation
99,Albania,1997,male,35-54 years,380800,Albania1997,"2,35,99,03,108",793,30,Boomers
100,Albania,1997,female,15-24 years,294000,Albania1997,"2,35,99,03,108",793,21,Generation X
101,Albania,1997,male,55-74 years,180300,Albania1997,"2,35,99,03,108",793,12,Silent
102,Albania,1997,female,25-34 years,273900,Albania1997,"2,35,99,03,108",793,16,Generation X
103,Albania,1997,female,75+ years,42100,Albania1997,"2,35,99,03,108",793,2,G.I. Generation
104,Albania,1997,female,35-54 years,370100,Albania1997,"2,35,99,03,108",793,7,Boomers
105,Albania,1997,female,5-14 years,361800,Albania1997,"2,35,99,03,108",793,6,Millenials
106,Albania,1997,male,5-14 years,381500,Albania1997,"2,35,99,03,108",793,4,Millenials
107,Albania,1997,female,55-74 years,187000,Albania1997,"2,35,99,03,108",793,0,Silent
108,Albania,1998,male,75+ years,25800,Albania1998,"2,70,71,23,772",899,3,G.I. Generation
109,Albania,1998,male,15-24 years,248800,Albania1998,"2,70,71,23,772",899,27,Generation X
110,Albania,1998,female,15-24 years,295600,Albania1998,"2,70,71,23,772",899,32,Generation X
